Year,Year ending,Local Government Area,Harm Caused Flag,Age Group,Victim Reports
2022,December,Alpine,High Harm,00 - 24,21
2022,December,Alpine,High Harm,25 - 44,12
2022,December,Alpine,High Harm,45+,11
2022,December,Alpine,Low Harm,00 - 24,9
2022,December,Alpine,Low Harm,25 - 44,40
2022,December,Alpine,Low Harm,45+,63
2022,December,Alpine,Medium Harm,00 - 24,10
2022,December,Alpine,Medium Harm,25 - 44,22
2022,December,Alpine,Medium Harm,45+,16
2022,December,Ararat,High Harm,00 - 24,24
2022,December,Ararat,High Harm,25 - 44,38
2022,December,Ararat,High Harm,45+,22
2022,December,Ararat,Low Harm,00 - 24,32
2022,December,Ararat,Low Harm,25 - 44,76
2022,December,Ararat,Low Harm,45+,120
2022,December,Ararat,Medium Harm,00 - 24,23
2022,December,Ararat,Medium Harm,25 - 44,35
2022,December,Ararat,Medium Harm,45+,55
2022,December,Ballarat,High Harm,00 - 24,207
2022,December,Ballarat,High Harm,25 - 44,288
2022,December,Ballarat,High Harm,45+,154
2022,December,Ballarat,Low Harm,00 - 24,411
2022,December,Ballarat,Low Harm,25 - 44,"1,150"
2022,December,Ballarat,Low Harm,45+,"1,094"
2022,December,Ballarat,Medium Harm,00 - 24,229
2022,December,Ballarat,Medium Harm,25 - 44,461
2022,December,Ballarat,Medium Harm,45+,344
2022,December,Banyule,High Harm,00 - 24,97
2022,December,Banyule,High Harm,25 - 44,177
2022,December,Banyule,High Harm,45+,118
2022,December,Banyule,Low Harm,00 - 24,170
2022,December,Banyule,Low Harm,25 - 44,749
2022,December,Banyule,Low Harm,45+,780
2022,December,Banyule,Medium Harm,00 - 24,131
2022,December,Banyule,Medium Harm,25 - 44,264
2022,December,Banyule,Medium Harm,45+,238
2022,December,Bass Coast,High Harm,00 - 24,133
2022,December,Bass Coast,High Harm,25 - 44,99
2022,December,Bass Coast,High Harm,45+,65
2022,December,Bass Coast,Low Harm,00 - 24,59
2022,December,Bass Coast,Low Harm,25 - 44,176
2022,December,Bass Coast,Low Harm,45+,374
2022,December,Bass Coast,Medium Harm,00 - 24,83
2022,December,Bass Coast,Medium Harm,25 - 44,114
2022,December,Bass Coast,Medium Harm,45+,151
2022,December,Baw Baw,High Harm,00 - 24,155
2022,December,Baw Baw,High Harm,25 - 44,110
2022,December,Baw Baw,High Harm,45+,82
2022,December,Baw Baw,Low Harm,00 - 24,95
2022,December,Baw Baw,Low Harm,25 - 44,293
2022,December,Baw Baw,Low Harm,45+,328
2022,December,Baw Baw,Medium Harm,00 - 24,127
2022,December,Baw Baw,Medium Harm,25 - 44,193
2022,December,Baw Baw,Medium Harm,45+,103
2022,December,Bayside,High Harm,00 - 24,77
2022,December,Bayside,High Harm,25 - 44,93
2022,December,Bayside,High Harm,45+,158
2022,December,Bayside,Low Harm,00 - 24,159
2022,December,Bayside,Low Harm,25 - 44,601
2022,December,Bayside,Low Harm,45+,"1,007"
2022,December,Bayside,Medium Harm,00 - 24,143
2022,December,Bayside,Medium Harm,25 - 44,145
2022,December,Bayside,Medium Harm,45+,234
2022,December,Benalla,High Harm,00 - 24,36
2022,December,Benalla,High Harm,25 - 44,23
2022,December,Benalla,High Harm,45+,17
2022,December,Benalla,Low Harm,00 - 24,31
2022,December,Benalla,Low Harm,25 - 44,76
2022,December,Benalla,Low Harm,45+,122
2022,December,Benalla,Medium Harm,00 - 24,36
2022,December,Benalla,Medium Harm,25 - 44,53
2022,December,Benalla,Medium Harm,45+,52
2022,December,Boroondara,High Harm,00 - 24,143
2022,December,Boroondara,High Harm,25 - 44,149
2022,December,Boroondara,High Harm,45+,197
2022,December,Boroondara,Low Harm,00 - 24,330
2022,December,Boroondara,Low Harm,25 - 44,962
2022,December,Boroondara,Low Harm,45+,"1,309"
2022,December,Boroondara,Medium Harm,00 - 24,191
2022,December,Boroondara,Medium Harm,25 - 44,227
2022,December,Boroondara,Medium Harm,45+,240
2022,December,Brimbank,High Harm,00 - 24,341
