Year,Year ending,Local Government Area,Age Group,Alleged Offender Incidents
2022,December,Alpine,10 - 17 years,16
2022,December,Alpine,18 - 24 years,28
2022,December,Alpine,25 - 29 years,37
2022,December,Alpine,30 - 34 years,22
2022,December,Alpine,35 - 39 years,13
2022,December,Alpine,40 - 44 years,19
2022,December,Alpine,45+ years,40
2022,December,Ararat,10 - 17 years,49
2022,December,Ararat,18 - 24 years,106
2022,December,Ararat,25 - 29 years,90
2022,December,Ararat,30 - 34 years,66
2022,December,Ararat,35 - 39 years,51
2022,December,Ararat,40 - 44 years,51
2022,December,Ararat,45+ years,119
2022,December,Ballarat,10 - 17 years,387
2022,December,Ballarat,18 - 24 years,800
2022,December,Ballarat,25 - 29 years,604
2022,December,Ballarat,30 - 34 years,437
2022,December,Ballarat,35 - 39 years,388
2022,December,Ballarat,40 - 44 years,290
2022,December,Ballarat,45+ years,501
2022,December,Banyule,10 - 17 years,291
2022,December,Banyule,18 - 24 years,377
2022,December,Banyule,25 - 29 years,353
2022,December,Banyule,30 - 34 years,397
2022,December,Banyule,35 - 39 years,373
2022,December,Banyule,40 - 44 years,318
2022,December,Banyule,45+ years,642
2022,December,Bass Coast,10 - 17 years,166
2022,December,Bass Coast,18 - 24 years,128
2022,December,Bass Coast,25 - 29 years,125
2022,December,Bass Coast,30 - 34 years,159
2022,December,Bass Coast,35 - 39 years,137
2022,December,Bass Coast,40 - 44 years,116
2022,December,Bass Coast,45+ years,313
2022,December,Baw Baw,10 - 17 years,287
2022,December,Baw Baw,18 - 24 years,240
2022,December,Baw Baw,25 - 29 years,202
2022,December,Baw Baw,30 - 34 years,234
2022,December,Baw Baw,35 - 39 years,231
2022,December,Baw Baw,40 - 44 years,152
2022,December,Baw Baw,45+ years,291
2022,December,Bayside,10 - 17 years,249
2022,December,Bayside,18 - 24 years,192
2022,December,Bayside,25 - 29 years,145
2022,December,Bayside,30 - 34 years,142
2022,December,Bayside,35 - 39 years,129
2022,December,Bayside,40 - 44 years,159
2022,December,Bayside,45+ years,353
2022,December,Benalla,10 - 17 years,93
2022,December,Benalla,18 - 24 years,110
2022,December,Benalla,25 - 29 years,93
2022,December,Benalla,30 - 34 years,57
2022,December,Benalla,35 - 39 years,74
2022,December,Benalla,40 - 44 years,29
2022,December,Benalla,45+ years,101
2022,December,Boroondara,10 - 17 years,319
2022,December,Boroondara,18 - 24 years,238
2022,December,Boroondara,25 - 29 years,221
2022,December,Boroondara,30 - 34 years,203
2022,December,Boroondara,35 - 39 years,191
2022,December,Boroondara,40 - 44 years,187
2022,December,Boroondara,45+ years,456
2022,December,Brimbank,10 - 17 years,313
2022,December,Brimbank,18 - 24 years,746
2022,December,Brimbank,25 - 29 years,740
2022,December,Brimbank,30 - 34 years,885
2022,December,Brimbank,35 - 39 years,762
2022,December,Brimbank,40 - 44 years,679
2022,December,Brimbank,45+ years,"1,275"
2022,December,Buloke,10 - 17 years,2
2022,December,Buloke,18 - 24 years,32
2022,December,Buloke,25 - 29 years,28
2022,December,Buloke,30 - 34 years,21
2022,December,Buloke,35 - 39 years,8
2022,December,Buloke,40 - 44 years,16
2022,December,Buloke,45+ years,30
2022,December,Campaspe,10 - 17 years,156
2022,December,Campaspe,18 - 24 years,167
2022,December,Campaspe,25 - 29 years,180
2022,December,Campaspe,30 - 34 years,190
2022,December,Campaspe,35 - 39 years,160
2022,December,Campaspe,40 - 44 years,155
2022,December,Campaspe,45+ years,194
2022,December,Cardinia,10 - 17 years,439
2022,December,Cardinia,18 - 24 years,402
2022,December,Cardinia,25 - 29 years,314
2022,December,Cardinia,30 - 34 years,342
2022,December,Cardinia,35 - 39 years,279
2022,December,Cardinia,40 - 44 years,201
2022,December,Cardinia,45+ years,357
2022,December,Casey,10 - 17 years,"1,052"
2022,December,Casey,18 - 24 years,"1,364"
2022,December,Casey,25 - 29 years,"1,004"
2022,December,Casey,30 - 34 years,"1,131"
2022,December,Casey,35 - 39 years,946
2022,December,Casey,40 - 44 years,777
2022,December,Casey,45+ years,"1,179"
2022,December,Central Goldfields,10 - 17 years,39
2022,December,Central Goldfields,18 - 24 years,42
2022,December,Central Goldfields,25 - 29 years,71
2022,December,Central Goldfields,30 - 34 years,53
2022,December,Central Goldfields,35 - 39 years,53
2022,December,Central Goldfields,40 - 44 years,65
2022,December,Central Goldfields,45+ years,114
2022,December,Colac-Otway,10 - 17 years,51
2022,December,Colac-Otway,18 - 24 years,93
2022,December,Colac-Otway,25 - 29 years,64
2022,December,Colac-Otway,30 - 34 years,112
2022,December,Colac-Otway,35 - 39 years,99
2022,December,Colac-Otway,40 - 44 years,54
2022,December,Colac-Otway,45+ years,142
2022,December,Corangamite,10 - 17 years,13
2022,December,Corangamite,18 - 24 years,35
2022,December,Corangamite,25 - 29 years,43
2022,December,Corangamite,30 - 34 years,39
2022,December,Corangamite,35 - 39 years,28
2022,December,Corangamite,40 - 44 years,40
2022,December,Corangamite,45+ years,79
2022,December,Darebin,10 - 17 years,398
2022,December,Darebin,18 - 24 years,577
2022,December,Darebin,25 - 29 years,518
2022,December,Darebin,30 - 34 years,590
2022,December,Darebin,35 - 39 years,578
2022,December,Darebin,40 - 44 years,463
2022,December,Darebin,45+ years,794
2022,December,East Gippsland,10 - 17 years,214
2022,December,East Gippsland,18 - 24 years,327
2022,December,East Gippsland,25 - 29 years,254
2022,December,East Gippsland,30 - 34 years,222
2022,December,East Gippsland,35 - 39 years,243
2022,December,East Gippsland,40 - 44 years,183
2022,December,East Gippsland,45+ years,496
2022,December,Frankston,10 - 17 years,625
2022,December,Frankston,18 - 24 years,687
2022,December,Frankston,25 - 29 years,669
2022,December,Frankston,30 - 34 years,743
2022,December,Frankston,35 - 39 years,618
2022,December,Frankston,40 - 44 years,571
2022,December,Frankston,45+ years,"1,007"
2022,December,Gannawarra,10 - 17 years,30
2022,December,Gannawarra,18 - 24 years,34
2022,December,Gannawarra,25 - 29 years,32
2022,December,Gannawarra,30 - 34 years,37
2022,December,Gannawarra,35 - 39 years,28
2022,December,Gannawarra,40 - 44 years,34
2022,December,Gannawarra,45+ years,80
2022,December,Glen Eira,10 - 17 years,261
2022,December,Glen Eira,18 - 24 years,266
2022,December,Glen Eira,25 - 29 years,228
2022,December,Glen Eira,30 - 34 years,252
2022,December,Glen Eira,35 - 39 years,221
2022,December,Glen Eira,40 - 44 years,209
2022,December,Glen Eira,45+ years,449
2022,December,Glenelg,10 - 17 years,66
2022,December,Glenelg,18 - 24 years,100
2022,December,Glenelg,25 - 29 years,89
2022,December,Glenelg,30 - 34 years,112
2022,December,Glenelg,35 - 39 years,92
2022,December,Glenelg,40 - 44 years,78
2022,December,Glenelg,45+ years,168
2022,December,Golden Plains,10 - 17 years,16
2022,December,Golden Plains,18 - 24 years,25
2022,December,Golden Plains,25 - 29 years,22
2022,December,Golden Plains,30 - 34 years,19
2022,December,Golden Plains,35 - 39 years,30
2022,December,Golden Plains,40 - 44 years,9
2022,December,Golden Plains,45+ years,44
2022,December,Greater Bendigo,10 - 17 years,608
2022,December,Greater Bendigo,18 - 24 years,640
2022,December,Greater Bendigo,25 - 29 years,486
2022,December,Greater Bendigo,30 - 34 years,526
2022,December,Greater Bendigo,35 - 39 years,467
2022,December,Greater Bendigo,40 - 44 years,405
2022,December,Greater Bendigo,45+ years,593
2022,December,Greater Dandenong,10 - 17 years,505
2022,December,Greater Dandenong,18 - 24 years,971
2022,December,Greater Dandenong,25 - 29 years,920
2022,December,Greater Dandenong,30 - 34 years,934
2022,December,Greater Dandenong,35 - 39 years,941
2022,December,Greater Dandenong,40 - 44 years,713
2022,December,Greater Dandenong,45+ years,"1,079"
2022,December,Greater Geelong,10 - 17 years,934
2022,December,Greater Geelong,18 - 24 years,"1,279"
2022,December,Greater Geelong,25 - 29 years,904
2022,December,Greater Geelong,30 - 34 years,866
2022,December,Greater Geelong,35 - 39 years,808
2022,December,Greater Geelong,40 - 44 years,602
2022,December,Greater Geelong,45+ years,"1,287"
2022,December,Greater Shepparton,10 - 17 years,364
2022,December,Greater Shepparton,18 - 24 years,468
2022,December,Greater Shepparton,25 - 29 years,441
2022,December,Greater Shepparton,30 - 34 years,454
2022,December,Greater Shepparton,35 - 39 years,441
2022,December,Greater Shepparton,40 - 44 years,360
2022,December,Greater Shepparton,45+ years,593
2022,December,Hepburn,10 - 17 years,12
2022,December,Hepburn,18 - 24 years,33
2022,December,Hepburn,25 - 29 years,11
2022,December,Hepburn,30 - 34 years,21
2022,December,Hepburn,35 - 39 years,19
2022,December,Hepburn,40 - 44 years,23
2022,December,Hepburn,45+ years,46
2022,December,Hindmarsh,10 - 17 years,6
2022,December,Hindmarsh,18 - 24 years,19
2022,December,Hindmarsh,25 - 29 years,9
2022,December,Hindmarsh,30 - 34 years,20
2022,December,Hindmarsh,35 - 39 years,11
2022,December,Hindmarsh,40 - 44 years,23
2022,December,Hindmarsh,45+ years,35
2022,December,Hobsons Bay,10 - 17 years,165
2022,December,Hobsons Bay,18 - 24 years,292
2022,December,Hobsons Bay,25 - 29 years,245
2022,December,Hobsons Bay,30 - 34 years,348
2022,December,Hobsons Bay,35 - 39 years,308
2022,December,Hobsons Bay,40 - 44 years,265
2022,December,Hobsons Bay,45+ years,404
2022,December,Horsham,10 - 17 years,79
2022,December,Horsham,18 - 24 years,161
