Year,Year ending,Local Government Area,Offence Division,Offence Subdivision,Alleged Offender Incidents
2022,December,Alpine,A Crimes against the person,A20 Assault and related offences,47
2022,December,Alpine,A Crimes against the person,A30 Sexual offences,5
2022,December,Alpine,A Crimes against the person,A80 Dangerous and negligent acts endangering people,8
2022,December,Alpine,B Property and deception offences,B20 Property damage,17
2022,December,Alpine,B Property and deception offences,B30 Burglary/Break and enter,5
2022,December,Alpine,B Property and deception offences,B40 Theft,15
2022,December,Alpine,C Drug offences,C30 Drug use and possession,7
2022,December,Alpine,D Public order and security offences,D20 Disorderly and offensive conduct,12
2022,December,Alpine,E Justice procedures offences,E20 Breaches of orders,39
2022,December,Alpine,F Other offences,F90 Miscellaneous offences,7
2022,December,Ararat,A Crimes against the person,A20 Assault and related offences,116
2022,December,Ararat,A Crimes against the person,A30 Sexual offences,10
2022,December,Ararat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",16
2022,December,Ararat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,14
2022,December,Ararat,B Property and deception offences,B10 Arson,7
2022,December,Ararat,B Property and deception offences,B20 Property damage,46
2022,December,Ararat,B Property and deception offences,B30 Burglary/Break and enter,20
2022,December,Ararat,B Property and deception offences,B40 Theft,69
2022,December,Ararat,B Property and deception offences,B50 Deception,17
2022,December,Ararat,C Drug offences,C10 Drug dealing and trafficking,10
2022,December,Ararat,C Drug offences,C20 Cultivate or manufacture drugs,4
2022,December,Ararat,C Drug offences,C30 Drug use and possession,45
2022,December,Ararat,D Public order and security offences,D10 Weapons and explosives offences,25
2022,December,Ararat,D Public order and security offences,D20 Disorderly and offensive conduct,19
2022,December,Ararat,D Public order and security offences,D30 Public nuisance offences,7
2022,December,Ararat,E Justice procedures offences,E10 Justice procedures,18
2022,December,Ararat,E Justice procedures offences,E20 Breaches of orders,84
2022,December,Ararat,F Other offences,F90 Miscellaneous offences,5
2022,December,Ballarat,A Crimes against the person,A20 Assault and related offences,622
2022,December,Ballarat,A Crimes against the person,A30 Sexual offences,116
2022,December,Ballarat,A Crimes against the person,A40 Abduction and related offences,4
2022,December,Ballarat,A Crimes against the person,A50 Robbery,23
2022,December,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",73
2022,December,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,79
2022,December,Ballarat,B Property and deception offences,B10 Arson,23
2022,December,Ballarat,B Property and deception offences,B20 Property damage,242
2022,December,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,199
2022,December,Ballarat,B Property and deception offences,B40 Theft,775
2022,December,Ballarat,B Property and deception offences,B50 Deception,133
2022,December,Ballarat,C Drug offences,C10 Drug dealing and trafficking,42
2022,December,Ballarat,C Drug offences,C20 Cultivate or manufacture drugs,14
2022,December,Ballarat,C Drug offences,C30 Drug use and possession,107
2022,December,Ballarat,D Public order and security offences,D10 Weapons and explosives offences,176
2022,December,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,81
2022,December,Ballarat,D Public order and security offences,D30 Public nuisance offences,12
2022,December,Ballarat,E Justice procedures offences,E10 Justice procedures,59
2022,December,Ballarat,E Justice procedures offences,E20 Breaches of orders,632
2022,December,Ballarat,F Other offences,F90 Miscellaneous offences,6
2022,December,Banyule,A Crimes against the person,A10 Homicide and related offences,6
2022,December,Banyule,A Crimes against the person,A20 Assault and related offences,473
2022,December,Banyule,A Crimes against the person,A30 Sexual offences,48
2022,December,Banyule,A Crimes against the person,A40 Abduction and related offences,7
