Year,Year ending,Local Government Area,Sex,Alleged Offender Incidents
2022,December,Alpine,Females,42
2022,December,Alpine,Males,133
2022,December,Ararat,Females,117
2022,December,Ararat,Males,418
2022,December,Ballarat,Females,773
2022,December,Ballarat,Males,"2,649"
2022,December,Banyule,Females,627
2022,December,Banyule,Males,"2,148"
2022,December,Bass Coast,Females,300
2022,December,Bass Coast,Males,852
2022,December,Baw Baw,Females,411
2022,December,Baw Baw,Males,"1,237"
2022,December,Bayside,Females,245
2022,December,Bayside,Males,"1,127"
2022,December,Benalla,Females,98
2022,December,Benalla,Males,463
2022,December,Boroondara,Females,344
2022,December,Boroondara,Males,"1,475"
2022,December,Brimbank,Females,"1,056"
2022,December,Brimbank,Males,"4,367"
2022,December,Buloke,Females,28
2022,December,Buloke,Males,110
2022,December,Campaspe,Females,249
2022,December,Campaspe,Males,964
2022,December,Cardinia,Females,514
2022,December,Cardinia,Males,"1,836"
2022,December,Casey,Females,"1,543"
2022,December,Casey,Males,"5,951"
2022,December,Central Goldfields,Females,87
2022,December,Central Goldfields,Males,356
2022,December,Colac-Otway,Females,143
2022,December,Colac-Otway,Males,477
2022,December,Corangamite,Females,49
2022,December,Corangamite,Males,228
2022,December,Darebin,Females,856
2022,December,Darebin,Males,"3,080"
2022,December,East Gippsland,Females,454
2022,December,East Gippsland,Males,"1,504"
2022,December,Frankston,Females,"1,186"
2022,December,Frankston,Males,"3,760"
2022,December,Gannawarra,Females,81
2022,December,Gannawarra,Males,195
2022,December,Glen Eira,Females,378
2022,December,Glen Eira,Males,"1,517"
2022,December,Glenelg,Females,153
2022,December,Glenelg,Males,554
2022,December,Golden Plains,Females,31
2022,December,Golden Plains,Males,134
2022,December,Greater Bendigo,Females,847
2022,December,Greater Bendigo,Males,"2,894"
2022,December,Greater Dandenong,Females,"1,120"
2022,December,Greater Dandenong,Males,"4,973"
2022,December,Greater Geelong,Females,"1,515"
2022,December,Greater Geelong,Males,"5,235"
2022,December,Greater Shepparton,Females,691
2022,December,Greater Shepparton,Males,"2,446"
2022,December,Hepburn,Females,26
2022,December,Hepburn,Males,139
2022,December,Hindmarsh,Females,27
2022,December,Hindmarsh,Males,96
2022,December,Hobsons Bay,Females,410
2022,December,Hobsons Bay,Males,"1,634"
2022,December,Horsham,Females,215
2022,December,Horsham,Males,722
2022,December,Hume,Females,"1,169"
2022,December,Hume,Males,"4,920"
2022,December,Indigo,Females,47
2022,December,Indigo,Males,215
2022,December,Kingston,Females,735
2022,December,Kingston,Males,"2,617"
2022,December,Knox,Females,796
2022,December,Knox,Males,"2,666"
2022,December,Latrobe,Females,"1,259"
2022,December,Latrobe,Males,"3,528"
2022,December,Loddon,Females,33
2022,December,Loddon,Males,137
2022,December,Macedon Ranges,Females,137
2022,December,Macedon Ranges,Males,550
2022,December,Manningham,Females,267
2022,December,Manningham,Males,938
2022,December,Mansfield,Females,19
2022,December,Mansfield,Males,113
2022,December,Maribyrnong,Females,520
2022,December,Maribyrnong,Males,"2,054"
2022,December,Maroondah,Females,705
2022,December,Maroondah,Males,"2,283"
2022,December,Melbourne,Females,"2,139"
2022,December,Melbourne,Males,"8,381"
2022,December,Melton,Females,810
2022,December,Melton,Males,"3,028"
2022,December,Merri-bek,Females,658
2022,December,Merri-bek,Males,"2,633"
2022,December,Mildura,Females,862
2022,December,Mildura,Males,"2,223"
2022,December,Mitchell,Females,271
2022,December,Mitchell,Males,"1,129"
2022,December,Moira,Females,152
2022,December,Moira,Males,623
2022,December,Monash,Females,645
2022,December,Monash,Males,"2,565"
2022,December,Moonee Valley,Females,518
2022,December,Moonee Valley,Males,"2,021"
2022,December,Moorabool,Females,114
2022,December,Moorabool,Males,609
2022,December,Mornington Peninsula,Females,701
2022,December,Mornington Peninsula,Males,"2,698"
2022,December,Mount Alexander,Females,50
2022,December,Mount Alexander,Males,306
2022,December,Moyne,Females,50
2022,December,Moyne,Males,192
2022,December,Murrindindi,Females,53
2022,December,Murrindindi,Males,253
2022,December,Nillumbik,Females,85
2022,December,Nillumbik,Males,454
2022,December,Northern Grampians,Females,85
2022,December,Northern Grampians,Males,388
2022,December,Port Phillip,Females,655
2022,December,Port Phillip,Males,"2,578"
2022,December,Pyrenees,Females,21
2022,December,Pyrenees,Males,95
2022,December,Queenscliffe,Females,
2022,December,Queenscliffe,Males,
2022,December,South Gippsland,Females,135
2022,December,South Gippsland,Males,544
2022,December,Southern Grampians,Females,131
2022,December,Southern Grampians,Males,355
2022,December,Stonnington,Females,570
2022,December,Stonnington,Males,"2,570"
2022,December,Strathbogie,Females,39
2022,December,Strathbogie,Males,144
2022,December,Surf Coast,Females,103
2022,December,Surf Coast,Males,275
2022,December,Swan Hill,Females,239
2022,December,Swan Hill,Males,733
2022,December,Towong,Females,15
2022,December,Towong,Males,44
2022,December,Wangaratta,Females,245
2022,December,Wangaratta,Males,758
2022,December,Warrnambool,Females,249
2022,December,Warrnambool,Males,992
2022,December,Wellington,Females,437
2022,December,Wellington,Males,"1,362"
2022,December,West Wimmera,Females,12
2022,December,West Wimmera,Males,25
2022,December,Whitehorse,Females,444
2022,December,Whitehorse,Males,"1,682"
2022,December,Whittlesea,Females,"1,073"
2022,December,Whittlesea,Males,"3,648"
2022,December,Wodonga,Females,353
2022,December,Wodonga,Males,"1,000"
2022,December,Wyndham,Females,"1,286"
2022,December,Wyndham,Males,"4,768"
2022,December,Yarra,Females,645
2022,December,Yarra,Males,"2,427"
2022,December,Yarra Ranges,Females,567
2022,December,Yarra Ranges,Males,"2,018"
2022,December,Yarriambiack,Females,32
2022,December,Yarriambiack,Males,122
2021,December,Alpine,Females,46
2021,December,Alpine,Males,202
2021,December,Ararat,Females,128
2021,December,Ararat,Males,482
2021,December,Ballarat,Females,694
2021,December,Ballarat,Males,"2,208"
2021,December,Banyule,Females,602
2021,December,Banyule,Males,"1,849"
2021,December,Bass Coast,Females,314
2021,December,Bass Coast,Males,772
2021,December,Baw Baw,Females,390
2021,December,Baw Baw,Males,"1,339"
2021,December,Bayside,Females,231
2021,December,Bayside,Males,917
2021,December,Benalla,Females,95
2021,December,Benalla,Males,444
2021,December,Boroondara,Females,327
2021,December,Boroondara,Males,"1,376"
2021,December,Brimbank,Females,930
2021,December,Brimbank,Males,"3,788"
2021,December,Buloke,Females,12
2021,December,Buloke,Males,81
