Date,Monthly Hours Worked,Year
Jan-2017,443573.8,2017
Feb-2017,429629.9,2017
Mar-2017,432467.7,2017
Apr-2017,422975.1,2017
May-2017,441645.8,2017
Jun-2017,445394.1,2017
Jul-2017,436608.7,2017
Aug-2017,436274.7,2017
Sep-2017,436863.9,2017
Oct-2017,436287.1,2017
Nov-2017,443797.3,2017
Dec-2017,442495.8,2017
Jan-2018,441689.6,2018
Feb-2018,443276.2,2018
Mar-2018,443943.5,2018
Apr-2018,446548.1,2018
May-2018,444702.6,2018
Jun-2018,446337.6,2018
Jul-2018,450583.2,2018
Aug-2018,449649.6,2018
Sep-2018,454755.9,2018
Oct-2018,454919.7,2018
Nov-2018,452870.7,2018
Dec-2018,454076.0,2018
Jan-2019,457350.9,2019
Feb-2019,459226.6,2019
Mar-2019,458748.3,2019
Apr-2019,454559.4,2019
May-2019,456013.2,2019
Jun-2019,457938.5,2019
Jul-2019,453813.5,2019
Aug-2019,460921.9,2019
Sep-2019,459006.1,2019
Oct-2019,457245.2,2019
Nov-2019,460035.4,2019
Dec-2019,463225.7,2019
Jan-2020,456233.7,2020
Feb-2020,457278.2,2020
Mar-2020,451845.0,2020
Apr-2020,409013.8,2020
May-2020,412743.2,2020
Jun-2020,428217.4,2020
Jul-2020,435102.6,2020
Aug-2020,413350.0,2020
Sep-2020,401634.1,2020
Oct-2020,419716.4,2020
Nov-2020,446474.4,2020
Dec-2020,442283.1,2020
Jan-2021,429173.4,2021
Feb-2021,448482.5,2021
Mar-2021,458545.1,2021
Apr-2021,455742.8,2021
May-2021,464741.1,2021
Jun-2021,429653.7,2021
Jul-2021,467176.0,2021
Aug-2021,454634.7,2021
Sep-2021,437442.6,2021
Oct-2021,417427.9,2021
Nov-2021,460824.1,2021
Dec-2021,467774.9,2021
Jan-2022,412712.1,2022
Feb-2022,464095.0,2022
Mar-2022,471229.8,2022
Apr-2022,466720.0,2022
May-2022,466230.7,2022
Jun-2022,469144.4,2022
Jul-2022,472980.9,2022
Aug-2022,475029.8,2022
Sep-2022,473818.4,2022
Oct-2022,480778.4,2022
Nov-2022,487049.9,2022
Dec-2022,477480.6,2022
Jan-2023,461818.3,2023
Feb-2023,490942.4,2023
