Year,Year ending,Local Government Area,Sex,Harm Caused Flag,Victim Reports
2022,December,Alpine,Females,High Harm,25
2022,December,Alpine,Females,Low Harm,55
2022,December,Alpine,Females,Medium Harm,23
2022,December,Alpine,Males,High Harm,19
2022,December,Alpine,Males,Low Harm,57
2022,December,Alpine,Males,Medium Harm,25
2022,December,Ararat,Females,High Harm,46
2022,December,Ararat,Females,Low Harm,98
2022,December,Ararat,Females,Medium Harm,50
2022,December,Ararat,Males,High Harm,39
2022,December,Ararat,Males,Low Harm,134
2022,December,Ararat,Males,Medium Harm,63
2022,December,Ballarat,Females,High Harm,367
2022,December,Ballarat,Females,Low Harm,"1,270"
2022,December,Ballarat,Females,Medium Harm,507
2022,December,Ballarat,Males,High Harm,287
2022,December,Ballarat,Males,Low Harm,"1,421"
2022,December,Ballarat,Males,Medium Harm,531
2022,December,Banyule,Females,High Harm,191
2022,December,Banyule,Females,Low Harm,752
2022,December,Banyule,Females,Medium Harm,331
2022,December,Banyule,Males,High Harm,206
2022,December,Banyule,Males,Low Harm,968
2022,December,Banyule,Males,Medium Harm,313
2022,December,Bass Coast,Females,High Harm,193
2022,December,Bass Coast,Females,Low Harm,272
2022,December,Bass Coast,Females,Medium Harm,199
2022,December,Bass Coast,Males,High Harm,112
2022,December,Bass Coast,Males,Low Harm,341
2022,December,Bass Coast,Males,Medium Harm,154
2022,December,Baw Baw,Females,High Harm,216
2022,December,Baw Baw,Females,Low Harm,358
2022,December,Baw Baw,Females,Medium Harm,245
2022,December,Baw Baw,Males,High Harm,147
2022,December,Baw Baw,Males,Low Harm,370
2022,December,Baw Baw,Males,Medium Harm,188
2022,December,Bayside,Females,High Harm,162
2022,December,Bayside,Females,Low Harm,778
2022,December,Bayside,Females,Medium Harm,261
2022,December,Bayside,Males,High Harm,168
2022,December,Bayside,Males,Low Harm,"1,015"
2022,December,Bayside,Males,Medium Harm,270
2022,December,Benalla,Females,High Harm,44
2022,December,Benalla,Females,Low Harm,98
2022,December,Benalla,Females,Medium Harm,79
2022,December,Benalla,Males,High Harm,33
2022,December,Benalla,Males,Low Harm,132
2022,December,Benalla,Males,Medium Harm,66
2022,December,Boroondara,Females,High Harm,247
2022,December,Boroondara,Females,Low Harm,"1,124"
2022,December,Boroondara,Females,Medium Harm,318
2022,December,Boroondara,Males,High Harm,249
2022,December,Boroondara,Males,Low Harm,"1,514"
2022,December,Boroondara,Males,Medium Harm,349
2022,December,Brimbank,Females,High Harm,466
2022,December,Brimbank,Females,Low Harm,"1,552"
2022,December,Brimbank,Females,Medium Harm,817
2022,December,Brimbank,Males,High Harm,556
2022,December,Brimbank,Males,Low Harm,"2,369"
2022,December,Brimbank,Males,Medium Harm,760
2022,December,Buloke,Females,High Harm,10
2022,December,Buloke,Females,Low Harm,24
2022,December,Buloke,Females,Medium Harm,13
2022,December,Buloke,Males,High Harm,4
2022,December,Buloke,Males,Low Harm,20
2022,December,Buloke,Males,Medium Harm,17
2022,December,Campaspe,Females,High Harm,142
2022,December,Campaspe,Females,Low Harm,378
2022,December,Campaspe,Females,Medium Harm,137
2022,December,Campaspe,Males,High Harm,92
2022,December,Campaspe,Males,Low Harm,490
2022,December,Campaspe,Males,Medium Harm,148
2022,December,Cardinia,Females,High Harm,246
2022,December,Cardinia,Females,Low Harm,599
2022,December,Cardinia,Females,Medium Harm,440
2022,December,Cardinia,Males,High Harm,179
2022,December,Cardinia,Males,Low Harm,699
2022,December,Cardinia,Males,Medium Harm,343
2022,December,Casey,Females,High Harm,794
2022,December,Casey,Females,Low Harm,"1,842"
2022,December,Casey,Females,Medium Harm,"1,547"
2022,December,Casey,Males,High Harm,812
2022,December,Casey,Males,Low Harm,"2,647"
2022,December,Casey,Males,Medium Harm,"1,172"
2022,December,Central Goldfields,Females,High Harm,68
2022,December,Central Goldfields,Females,Low Harm,92
2022,December,Central Goldfields,Females,Medium Harm,82
2022,December,Central Goldfields,Males,High Harm,41
2022,December,Central Goldfields,Males,Low Harm,114
2022,December,Central Goldfields,Males,Medium Harm,59
2022,December,Colac-Otway,Females,High Harm,63
2022,December,Colac-Otway,Females,Low Harm,143
2022,December,Colac-Otway,Females,Medium Harm,91
2022,December,Colac-Otway,Males,High Harm,45
2022,December,Colac-Otway,Males,Low Harm,183
2022,December,Colac-Otway,Males,Medium Harm,52
2022,December,Corangamite,Females,High Harm,33
2022,December,Corangamite,Females,Low Harm,54
2022,December,Corangamite,Females,Medium Harm,40
2022,December,Corangamite,Males,High Harm,25
2022,December,Corangamite,Males,Low Harm,86
2022,December,Corangamite,Males,Medium Harm,44
2022,December,Darebin,Females,High Harm,308
2022,December,Darebin,Females,Low Harm,"1,519"
2022,December,Darebin,Females,Medium Harm,573
2022,December,Darebin,Males,High Harm,361
2022,December,Darebin,Males,Low Harm,"2,025"
2022,December,Darebin,Males,Medium Harm,568
2022,December,East Gippsland,Females,High Harm,224
2022,December,East Gippsland,Females,Low Harm,382
2022,December,East Gippsland,Females,Medium Harm,315
2022,December,East Gippsland,Males,High Harm,158
2022,December,East Gippsland,Males,Low Harm,433
2022,December,East Gippsland,Males,Medium Harm,227
2022,December,Frankston,Females,High Harm,424
2022,December,Frankston,Females,Low Harm,"1,190"
2022,December,Frankston,Females,Medium Harm,693
2022,December,Frankston,Males,High Harm,382
2022,December,Frankston,Males,Low Harm,"1,393"
2022,December,Frankston,Males,Medium Harm,539
2022,December,Gannawarra,Females,High Harm,26
2022,December,Gannawarra,Females,Low Harm,57
2022,December,Gannawarra,Females,Medium Harm,44
2022,December,Gannawarra,Males,High Harm,23
2022,December,Gannawarra,Males,Low Harm,78
2022,December,Gannawarra,Males,Medium Harm,32
2022,December,Glen Eira,Females,High Harm,244
2022,December,Glen Eira,Females,Low Harm,"1,046"
2022,December,Glen Eira,Females,Medium Harm,374
2022,December,Glen Eira,Males,High Harm,168
2022,December,Glen Eira,Males,Low Harm,"1,566"
2022,December,Glen Eira,Males,Medium Harm,431
2022,December,Glenelg,Females,High Harm,69
2022,December,Glenelg,Females,Low Harm,121
2022,December,Glenelg,Females,Medium Harm,97
2022,December,Glenelg,Males,High Harm,46
2022,December,Glenelg,Males,Low Harm,166
2022,December,Glenelg,Males,Medium Harm,75
2022,December,Golden Plains,Females,High Harm,20
2022,December,Golden Plains,Females,Low Harm,59
2022,December,Golden Plains,Females,Medium Harm,40
2022,December,Golden Plains,Males,High Harm,11
2022,December,Golden Plains,Males,Low Harm,78
2022,December,Golden Plains,Males,Medium Harm,34
2022,December,Greater Bendigo,Females,High Harm,487
2022,December,Greater Bendigo,Females,Low Harm,"1,063"
2022,December,Greater Bendigo,Females,Medium Harm,503
2022,December,Greater Bendigo,Males,High Harm,306
2022,December,Greater Bendigo,Males,Low Harm,"1,256"
2022,December,Greater Bendigo,Males,Medium Harm,418
