Year,Year ending,Local Government Area,Offence Division,Offence Subdivision,Victim Reports
2022,December,Alpine,A Crimes against the person,A20 Assault and related offences,60
2022,December,Alpine,A Crimes against the person,A30 Sexual offences,19
2022,December,Alpine,B Property and deception offences,B20 Property damage,24
2022,December,Alpine,B Property and deception offences,B30 Burglary/Break and enter,16
2022,December,Alpine,B Property and deception offences,B40 Theft,75
2022,December,Alpine,B Property and deception offences,B50 Deception,5
2022,December,Ararat,A Crimes against the person,A20 Assault and related offences,130
2022,December,Ararat,A Crimes against the person,A30 Sexual offences,17
2022,December,Ararat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",15
2022,December,Ararat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,15
2022,December,Ararat,B Property and deception offences,B10 Arson,4
2022,December,Ararat,B Property and deception offences,B20 Property damage,77
2022,December,Ararat,B Property and deception offences,B30 Burglary/Break and enter,45
2022,December,Ararat,B Property and deception offences,B40 Theft,116
2022,December,Ararat,B Property and deception offences,B50 Deception,15
2022,December,Ballarat,A Crimes against the person,A20 Assault and related offences,760
2022,December,Ballarat,A Crimes against the person,A30 Sexual offences,155
2022,December,Ballarat,A Crimes against the person,A40 Abduction and related offences,5
2022,December,Ballarat,A Crimes against the person,A50 Robbery,29
2022,December,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",94
2022,December,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,82
2022,December,Ballarat,B Property and deception offences,B10 Arson,72
2022,December,Ballarat,B Property and deception offences,B20 Property damage,546
2022,December,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,504
2022,December,Ballarat,B Property and deception offences,B40 Theft,"2,090"
2022,December,Ballarat,B Property and deception offences,B50 Deception,105
2022,December,Banyule,A Crimes against the person,A20 Assault and related offences,575
2022,December,Banyule,A Crimes against the person,A30 Sexual offences,73
2022,December,Banyule,A Crimes against the person,A40 Abduction and related offences,16
2022,December,Banyule,A Crimes against the person,A50 Robbery,26
2022,December,Banyule,A Crimes against the person,A60 Blackmail and extortion,6
2022,December,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",131
2022,December,Banyule,A Crimes against the person,A80 Dangerous and negligent acts endangering people,27
2022,December,Banyule,B Property and deception offences,B10 Arson,8
2022,December,Banyule,B Property and deception offences,B20 Property damage,323
2022,December,Banyule,B Property and deception offences,B30 Burglary/Break and enter,366
2022,December,Banyule,B Property and deception offences,B40 Theft,"1,058"
2022,December,Banyule,B Property and deception offences,B50 Deception,194
2022,December,Bass Coast,A Crimes against the person,A20 Assault and related offences,375
2022,December,Bass Coast,A Crimes against the person,A30 Sexual offences,126
2022,December,Bass Coast,A Crimes against the person,A50 Robbery,6
